Connecting to host 10.1.5.1, port 2347
[ 45] local 10.1.2.3 port 36664 connected to 10.1.5.1 port 2347
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 45]   0.00-1.00   sec   553 KBytes  4.52 Mbits/sec    0   11.3 KBytes       
[ 45]   1.00-2.00   sec   724 KBytes  5.94 Mbits/sec    0   8.48 KBytes       
[ 45]   2.00-3.00   sec  2.12 MBytes  17.7 Mbits/sec    0   59.4 KBytes       
[ 45]   3.00-4.00   sec  31.1 MBytes   261 Mbits/sec    0   14.5 MBytes       
[ 45]   4.00-5.00   sec  26.2 MBytes   220 Mbits/sec    0   25.5 MBytes       
[ 45]   5.00-6.00   sec  26.2 MBytes   220 Mbits/sec    0   30.3 MBytes       
[ 45]   6.00-7.00   sec  26.2 MBytes   220 Mbits/sec    0   34.3 MBytes       
[ 45]   7.00-8.00   sec  23.8 MBytes   200 Mbits/sec    0   35.3 MBytes       
[ 45]   8.00-9.00   sec  27.5 MBytes   231 Mbits/sec    0   37.5 MBytes       
[ 45]   9.00-10.00  sec  26.2 MBytes   220 Mbits/sec    0   37.8 MBytes       
[ 45]  10.00-11.00  sec  26.2 MBytes   220 Mbits/sec    0   43.2 MBytes       
[ 45]  11.00-12.00  sec  27.5 MBytes   231 Mbits/sec    0   48.8 MBytes       
[ 45]  12.00-13.00  sec  25.0 MBytes   209 Mbits/sec    0   57.3 MBytes       
[ 45]  13.00-14.00  sec  27.5 MBytes   231 Mbits/sec    0   54.9 MBytes       
[ 45]  14.00-15.00  sec  27.5 MBytes   231 Mbits/sec    0   59.8 MBytes       
[ 45]  15.00-16.00  sec  26.2 MBytes   220 Mbits/sec    0   60.1 MBytes       
[ 45]  16.00-17.00  sec  27.5 MBytes   231 Mbits/sec    0   70.2 MBytes       
[ 45]  17.00-18.00  sec  26.2 MBytes   220 Mbits/sec    0   78.4 MBytes       
[ 45]  18.00-19.00  sec  26.2 MBytes   219 Mbits/sec    0   93.9 MBytes       
[ 45]  19.00-20.00  sec  26.2 MBytes   221 Mbits/sec    0   88.8 MBytes       
[ 45]  20.00-21.00  sec  25.0 MBytes   210 Mbits/sec    0   93.0 MBytes       
[ 45]  21.00-22.00  sec  27.5 MBytes   231 Mbits/sec    0   99.1 MBytes       
[ 45]  22.00-23.00  sec  26.2 MBytes   220 Mbits/sec    0    122 MBytes       
[ 45]  23.00-24.00  sec  27.5 MBytes   231 Mbits/sec    0    119 MBytes       
[ 45]  24.00-25.00  sec  26.2 MBytes   220 Mbits/sec    0    151 MBytes       
[ 45]  25.00-26.00  sec  27.5 MBytes   231 Mbits/sec    0    144 MBytes       
[ 45]  26.00-27.00  sec  23.8 MBytes   199 Mbits/sec    0    169 MBytes       
[ 45]  27.00-28.00  sec  27.5 MBytes   231 Mbits/sec    0    164 MBytes       
[ 45]  28.00-29.00  sec  27.5 MBytes   231 Mbits/sec    0    181 MBytes       
