Connecting to host 10.1.5.1, port 2347
[ 45] local 10.1.2.3 port 39668 connected to 10.1.5.1 port 2347
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 45]   0.00-1.00   sec   602 KBytes  4.93 Mbits/sec    0   5.66 KBytes       
[ 45]   1.00-2.00   sec   725 KBytes  5.94 Mbits/sec    0   14.1 KBytes       
[ 45]   2.00-3.00   sec  2.97 MBytes  25.0 Mbits/sec    0    297 KBytes       
[ 45]   3.00-4.00   sec  2.92 MBytes  24.5 Mbits/sec    0    509 KBytes       
[ 45]   4.00-5.00   sec  3.75 MBytes  31.5 Mbits/sec    0    721 KBytes       
[ 45]   5.00-6.00   sec  3.75 MBytes  31.5 Mbits/sec    0    930 KBytes       
[ 45]   6.00-7.00   sec  6.25 MBytes  52.4 Mbits/sec    0   1.06 MBytes       
[ 45]   7.00-8.00   sec  5.00 MBytes  41.9 Mbits/sec    0   1.43 MBytes       
[ 45]   8.00-9.00   sec  6.25 MBytes  52.4 Mbits/sec    0   1.89 MBytes       
[ 45]   9.00-10.00  sec  8.75 MBytes  73.4 Mbits/sec    0   3.44 MBytes       
[ 45]  10.00-11.00  sec  8.75 MBytes  73.4 Mbits/sec    0   2.99 MBytes       
[ 45]  11.00-12.00  sec  8.75 MBytes  73.4 Mbits/sec    0   4.29 MBytes       
[ 45]  12.00-13.00  sec  10.0 MBytes  83.9 Mbits/sec    0   4.50 MBytes       
[ 45]  13.00-14.00  sec  12.5 MBytes   105 Mbits/sec    0   5.67 MBytes       
[ 45]  14.00-15.00  sec  13.8 MBytes   115 Mbits/sec    0   8.36 MBytes       
[ 45]  15.00-16.00  sec  15.0 MBytes   126 Mbits/sec    0   9.64 MBytes       
[ 45]  16.00-17.00  sec  17.5 MBytes   147 Mbits/sec  162   4.54 MBytes       
[ 45]  17.00-18.00  sec  16.2 MBytes   136 Mbits/sec    0   13.4 MBytes       
[ 45]  18.00-19.00  sec  15.0 MBytes   126 Mbits/sec  357   10.1 MBytes       
[ 45]  19.00-20.00  sec  16.2 MBytes   136 Mbits/sec   17   22.0 MBytes       
[ 45]  20.00-21.00  sec  15.0 MBytes   126 Mbits/sec  772   10.1 MBytes       
[ 45]  21.00-22.00  sec  16.2 MBytes   136 Mbits/sec  492   17.5 MBytes       
[ 45]  22.00-23.00  sec  21.2 MBytes   178 Mbits/sec  116   15.2 MBytes       
[ 45]  23.00-24.00  sec  18.8 MBytes   157 Mbits/sec  695   8.91 MBytes       
[ 45]  24.00-25.00  sec  16.2 MBytes   136 Mbits/sec  356   21.5 MBytes       
[ 45]  25.00-26.00  sec  20.0 MBytes   168 Mbits/sec  638   14.2 MBytes       
[ 45]  26.00-27.00  sec  17.5 MBytes   147 Mbits/sec  960   7.86 MBytes       
[ 45]  27.00-28.00  sec  16.2 MBytes   136 Mbits/sec  716   17.4 MBytes       
[ 45]  28.00-29.00  sec  20.0 MBytes   168 Mbits/sec  357   15.1 MBytes       
