Connecting to host 10.1.5.1, port 2347
[ 45] local 10.1.2.3 port 49776 connected to 10.1.5.1 port 2347
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 45]   0.00-1.00   sec  11.3 MBytes  94.9 Mbits/sec    0    373 KBytes       
[ 45]   1.00-2.00   sec  17.5 MBytes   147 Mbits/sec    0    585 KBytes       
[ 45]   2.00-3.00   sec  27.5 MBytes   231 Mbits/sec    0    724 KBytes       
[ 45]   3.00-4.00   sec  28.8 MBytes   241 Mbits/sec    0    716 KBytes       
[ 45]   4.00-5.00   sec  27.5 MBytes   230 Mbits/sec    0    676 KBytes       
[ 45]   5.00-6.00   sec  26.2 MBytes   220 Mbits/sec    0    642 KBytes       
[ 45]   6.00-7.00   sec  23.8 MBytes   199 Mbits/sec    0    605 KBytes       
[ 45]   7.00-8.01   sec  22.5 MBytes   188 Mbits/sec    0    648 KBytes       
[ 45]   8.01-9.00   sec  22.5 MBytes   190 Mbits/sec    0    520 KBytes       
[ 45]   9.00-10.00  sec  17.5 MBytes   147 Mbits/sec    0    390 KBytes       
[ 45]  10.00-11.00  sec  7.50 MBytes  62.8 Mbits/sec    0    136 KBytes       
[ 45]  11.00-12.00  sec  7.50 MBytes  63.0 Mbits/sec    0    144 KBytes       
[ 45]  12.00-13.00  sec  8.75 MBytes  73.4 Mbits/sec    0    156 KBytes       
[ 45]  13.00-14.00  sec  7.50 MBytes  62.9 Mbits/sec    0    156 KBytes       
[ 45]  14.00-15.00  sec  8.75 MBytes  73.4 Mbits/sec    0    178 KBytes       
[ 45]  15.00-16.00  sec  11.2 MBytes  94.4 Mbits/sec    0    209 KBytes       
[ 45]  16.00-17.00  sec  11.2 MBytes  94.4 Mbits/sec    0    215 KBytes       
[ 45]  17.00-18.00  sec  12.5 MBytes   105 Mbits/sec    0    212 KBytes       
[ 45]  18.00-19.00  sec  12.5 MBytes   105 Mbits/sec    0    192 KBytes       
[ 45]  19.00-20.00  sec  10.0 MBytes  83.9 Mbits/sec    0    218 KBytes       
[ 45]  20.00-21.00  sec  16.2 MBytes   136 Mbits/sec    0    438 KBytes       
[ 45]  21.00-22.00  sec  20.0 MBytes   168 Mbits/sec    0    311 KBytes       
[ 45]  22.00-23.00  sec  16.2 MBytes   136 Mbits/sec    0    288 KBytes       
[ 45]  23.00-24.00  sec  16.2 MBytes   136 Mbits/sec    0    243 KBytes       
[ 45]  24.00-25.00  sec  12.5 MBytes   105 Mbits/sec    0    229 KBytes       
[ 45]  25.00-26.00  sec  11.2 MBytes  94.4 Mbits/sec    0    209 KBytes       
[ 45]  26.00-27.00  sec  12.5 MBytes   105 Mbits/sec    0    221 KBytes       
[ 45]  27.00-28.00  sec  12.5 MBytes   105 Mbits/sec    0    229 KBytes       
[ 45]  28.00-29.00  sec  12.5 MBytes   105 Mbits/sec    0    229 KBytes       
[ 45]  29.00-30.00  sec  13.8 MBytes   115 Mbits/sec    0    235 KBytes       
[ 45]  30.00-31.00  sec  7.50 MBytes  62.9 Mbits/sec    0    127 KBytes       
[ 45]  31.00-32.00  sec  6.25 MBytes  52.4 Mbits/sec    0    167 KBytes       
[ 45]  32.00-33.00  sec  8.75 MBytes  73.4 Mbits/sec    0    178 KBytes       
