Connecting to host 10.1.5.1, port 2345
[ 45] local 10.1.2.1 port 56060 connected to 10.1.5.1 port 2345
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 45]   0.00-1.00   sec  7.06 MBytes  59.2 Mbits/sec    0    529 KBytes       
[ 45]   1.00-2.00   sec  7.23 MBytes  60.7 Mbits/sec    0    813 KBytes       
[ 45]   2.00-3.00   sec  8.75 MBytes  73.4 Mbits/sec    0   1.19 MBytes       
[ 45]   3.00-4.00   sec  15.0 MBytes   126 Mbits/sec    0   1.79 MBytes       
[ 45]   4.00-5.00   sec  18.8 MBytes   157 Mbits/sec    0   2.58 MBytes       
[ 45]   5.00-6.00   sec  18.8 MBytes   157 Mbits/sec    0   3.47 MBytes       
[ 45]   6.00-7.00   sec  23.8 MBytes   199 Mbits/sec    0   4.66 MBytes       
[ 45]   7.00-8.00   sec  22.5 MBytes   189 Mbits/sec  211   3.69 MBytes       
[ 45]   8.00-9.00   sec  27.5 MBytes   231 Mbits/sec    0   4.00 MBytes       
[ 45]   9.00-10.00  sec  28.8 MBytes   241 Mbits/sec    0   4.26 MBytes       
[ 45]  10.00-11.00  sec  26.2 MBytes   220 Mbits/sec    0   4.47 MBytes       
[ 45]  11.00-12.00  sec  27.5 MBytes   231 Mbits/sec    0   4.65 MBytes       
[ 45]  12.00-13.00  sec  26.2 MBytes   220 Mbits/sec    0   4.80 MBytes       
[ 45]  13.00-14.00  sec  27.5 MBytes   231 Mbits/sec  323   3.47 MBytes       
[ 45]  14.00-15.00  sec  30.0 MBytes   252 Mbits/sec    0   3.63 MBytes       
[ 45]  15.00-16.00  sec  30.0 MBytes   252 Mbits/sec    0   3.77 MBytes       
[ 45]  16.00-17.00  sec  31.2 MBytes   262 Mbits/sec    0   3.87 MBytes       
[ 45]  17.00-18.00  sec  26.2 MBytes   220 Mbits/sec    0   3.95 MBytes       
[ 45]  18.00-19.00  sec  28.8 MBytes   241 Mbits/sec  101   2.87 MBytes       
