Connecting to host 10.1.5.1, port 2345
[ 45] local 10.1.2.1 port 56990 connected to 10.1.5.1 port 2345
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 45]   0.00-1.00   sec  28.3 MBytes   237 Mbits/sec    0   16.0 MBytes       
[ 45]   1.00-2.00   sec  21.2 MBytes   178 Mbits/sec    0   16.0 MBytes       
[ 45]   2.00-3.01   sec  13.8 MBytes   114 Mbits/sec    0   16.0 MBytes       
[ 45]   3.01-4.00   sec  10.0 MBytes  84.9 Mbits/sec    0   16.0 MBytes       
[ 45]   4.00-5.00   sec  13.8 MBytes   115 Mbits/sec  107   4.01 MBytes       
[ 45]   5.00-6.00   sec  10.0 MBytes  83.9 Mbits/sec  907   2.00 MBytes       
[ 45]   6.00-7.00   sec  6.25 MBytes  52.4 Mbits/sec  124   1.00 MBytes       
[ 45]   7.00-8.00   sec  5.00 MBytes  42.0 Mbits/sec   42    520 KBytes       
[ 45]   8.00-9.00   sec  12.5 MBytes   105 Mbits/sec    0    556 KBytes       
[ 45]   9.00-10.00  sec  12.5 MBytes   105 Mbits/sec    0    588 KBytes       
[ 45]  10.00-11.00  sec  12.5 MBytes   105 Mbits/sec    0    615 KBytes       
[ 45]  11.00-12.01  sec  6.25 MBytes  52.1 Mbits/sec    0    632 KBytes       
[ 45]  12.01-13.00  sec  5.00 MBytes  42.2 Mbits/sec    0    642 KBytes       
[ 45]  13.00-14.00  sec  2.50 MBytes  20.9 Mbits/sec    0    648 KBytes       
[ 45]  14.00-15.00  sec  7.50 MBytes  63.1 Mbits/sec    0    665 KBytes       
[ 45]  15.00-16.00  sec  15.0 MBytes   126 Mbits/sec    0    696 KBytes       
[ 45]  16.00-17.00  sec  15.0 MBytes   126 Mbits/sec    0    727 KBytes       
[ 45]  17.00-18.00  sec  12.5 MBytes   105 Mbits/sec    0    752 KBytes       
[ 45]  18.00-19.00  sec  5.00 MBytes  42.0 Mbits/sec    0    761 KBytes       
[ 45]  19.00-20.00  sec  6.25 MBytes  52.4 Mbits/sec    0    772 KBytes       
[ 45]  20.00-21.00  sec  6.25 MBytes  52.5 Mbits/sec    0    785 KBytes       
[ 45]  21.00-22.00  sec  15.0 MBytes   126 Mbits/sec    0    812 KBytes       
[ 45]  22.00-23.00  sec  15.0 MBytes   126 Mbits/sec    0    839 KBytes       
[ 45]  23.00-24.00  sec  15.0 MBytes   126 Mbits/sec    0    864 KBytes       
[ 45]  24.00-25.00  sec  16.2 MBytes   136 Mbits/sec    0    891 KBytes       
[ 45]  25.00-26.00  sec  16.2 MBytes   136 Mbits/sec    0    916 KBytes       
[ 45]  26.00-27.00  sec  16.2 MBytes   136 Mbits/sec    0    942 KBytes       
[ 45]  27.00-28.00  sec  7.50 MBytes  62.9 Mbits/sec    0    953 KBytes       
[ 45]  28.00-29.00  sec  3.75 MBytes  31.4 Mbits/sec    0    960 KBytes       
[ 45]  29.00-30.00  sec  6.25 MBytes  52.5 Mbits/sec    0    969 KBytes       
[ 45]  30.00-31.00  sec  11.2 MBytes  94.4 Mbits/sec    0    986 KBytes       
[ 45]  31.00-32.00  sec  17.5 MBytes   147 Mbits/sec    0   1010 KBytes       
[ 45]  32.00-33.00  sec  15.0 MBytes   126 Mbits/sec    0   1.01 MBytes       
[ 45]  33.00-34.00  sec  10.0 MBytes  83.9 Mbits/sec    0   1.02 MBytes       
[ 45]  34.00-35.00  sec  8.75 MBytes  73.4 Mbits/sec    0   1.03 MBytes       
[ 45]  35.00-36.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.04 MBytes       
[ 45]  36.00-37.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.05 MBytes       
[ 45]  37.00-38.00  sec  8.75 MBytes  73.4 Mbits/sec    0   1.06 MBytes       
[ 45]  38.00-39.00  sec  12.5 MBytes   105 Mbits/sec    0   1.08 MBytes       
[ 45]  39.00-40.00  sec  16.2 MBytes   136 Mbits/sec    0   1.10 MBytes       
[ 45]  40.00-41.00  sec  16.2 MBytes   136 Mbits/sec    0   1.12 MBytes       
[ 45]  41.00-42.00  sec  13.8 MBytes   115 Mbits/sec    0   1.14 MBytes       
[ 45]  42.00-43.00  sec  6.25 MBytes  52.3 Mbits/sec    0   1.15 MBytes       
[ 45]  43.00-44.00  sec  15.0 MBytes   126 Mbits/sec    0   1.16 MBytes       
[ 45]  44.00-45.00  sec  16.2 MBytes   136 Mbits/sec    0   1.18 MBytes       
[ 45]  45.00-46.00  sec  16.2 MBytes   136 Mbits/sec    0   1.20 MBytes       
[ 45]  46.00-47.00  sec  17.5 MBytes   147 Mbits/sec    0   1.22 MBytes       
[ 45]  47.00-48.00  sec  16.2 MBytes   136 Mbits/sec    0   1.24 MBytes       
[ 45]  48.00-49.00  sec  17.5 MBytes   147 Mbits/sec    0   1.26 MBytes       
